John Walsh	MT	senate	D	SenWalshOffice
Bradley Byrne	AL	house	R	RepByrne
Katherine Clark	MA	house	D	RepKClark
Vance McAllister	LA	house	R	RepMcAllister
Cory Booker	NJ	senate	D	SenBookerOfc
Jason Smith	MO	house	R	RepJasonSmith
Robin Kelly	IL	house	D	RepRobinKelly
Mark Pocan	WI	house	D	RepMarkPocan
Denny Heck	WA	house	D	RepDennyHeck
Derek Kilmer	WA	house	D	RepDerekKilmer
Timothy Kaine	VA	senate	D	SenKaineOffice
Chris Stewart	UT	house	R	RepChrisStewart
Filemon Vela	TX	house	D	RepFilemonVela
Marc Veasey	TX	house	D	RepVeasey
Roger Williams	TX	house	R	RepRWilliams
Pete Gallego	TX	house	D	RepPeteGallego
Joaquin Castro	TX	house	D	JoaquinCastrotx
Beto O'Rourke	TX	house	D	RepBetoORourke
Randy Weber	TX	house	R	TXRandy14
Ted Cruz	TX	senate	R	SenTedCruz
Tom Rice	SC	house	R	RepTomRice
Matthew Cartwright	PA	house	D	RepCartwright
Keith Rothfus	PA	house	R	KeithRothfus
Scott Perry	PA	house	R	RepScottPerry
Markwayne Mullin	OK	house	R	RepMullin
Jim Bridenstine	OK	house	R	RepJBridenstine
David Joyce	OH	house	R	RepDaveJoyce
Joyce Beatty	OH	house	D	RepBeatty
Brad Wenstrup	OH	house	R	RepBradWenstrup
Chris Collins	NY	house	R	RepChrisCollins
Sean Maloney	NY	house	D	RepSeanMaloney
Hakeem Jeffries	NY	house	D	RepJeffries
Grace Meng	NY	house	D	RepGraceMeng
Steven Horsford	NV	house	D	RepHorsford
Michelle Lujan Grisham	NM	house	D	RepLujanGrisham
Ann Kuster	NH	house	D	RepAnnieKuster
Deb Fischer	NE	senate	R	SenatorFischer
Kevin Cramer	ND	house	R	RepKevinCramer
Heidi Heitkamp	ND	senate	D	SenatorHeitkamp
George Holding	NC	house	R	RepHolding
Mark Meadows	NC	house	R	RepMarkMeadows
Robert Pittenger	NC	house	R	RepPittenger
Richard Hudson	NC	house	R	RepRichHudson
Steve Daines	MT	house	R	SteveDaines
Ann Wagner	MO	house	R	RepAnnWagner
Kerry Bentivolio	MI	house	R	RepKerryB
Daniel Kildee	MI	house	D	RepDanKildee
Angus King	ME	senate	I	SenAngusKing
John Delaney	MD	house	D	RepJohnDelaney
Joseph Kennedy	MA	house	D	RepJoeKennedy
Elizabeth Warren	MA	senate	D	SenWarren
Garland Barr	KY	house	R	RepAndyBarr
Luke Messer	IN	house	R	RepLukeMesser
Susan Brooks	IN	house	R	SusanWBrooks
Jackie Walorski	IN	house	R	RepWalorski
Cheri Bustos	IL	house	D	RepCheri
Rodney Davis	IL	house	R	RodneyDavis
William Enyart	IL	house	D	RepBillEnyart
Bradley Schneider	IL	house	D	RepSchneider
Tammy Duckworth	IL	house	D	RepDuckworth
Tulsi Gabbard	HI	house	D	TulsiPress
Doug Collins	GA	house	R	RepDougCollins
Joe Garcia	FL	house	D	RepJoeGarcia
Lois Frankel	FL	house	D	RepLoisFrankel
Patrick Murphy	FL	house	D	RepMurphyFL
Ron DeSantis	FL	house	R	RepDeSantis
Ted Yoho	FL	house	R	RepTedYoho
Elizabeth Esty	CT	house	D	RepEsty
Scott Peters	CA	house	D	RepScottPeters
Juan Vargas	CA	house	D	RepJuanVargas
Alan Lowenthal	CA	house	D	RepLowenthal
Mark Takano	CA	house	D	RepMarkTakano
Raul Ruiz	CA	house	D	CongressmanRuiz
Gloria Negrete McLeod	CA	house	D	RepMcLeod
Tony Cárdenas	CA	house	D	RepCardenas
Julia Brownley	CA	house	D	JuliaBrownley26
David Valadao	CA	house	R	RepDavidValadao
Eric Swalwell	CA	house	D	RepSwalwell
Paul Cook	CA	house	R	RepPaulCook
Ami Bera	CA	house	D	RepBera
Jared Huffman	CA	house	D	RepHuffman
Doug LaMalfa	CA	house	R	RepLaMalfa
Kyrsten Sinema	AZ	house	D	RepSinema
Tom Cotton	AR	house	R	RepTomCotton
Brian Schatz	HI	senate	D	SenBrianSchatz
Dina Titus	NV	house	D	RepDinaTitus
Carol Shea-Porter	NH	house	D	RepSheaPorter
Daniel Maffei	NY	house	D	RepDanMaffei
Ann Kirkpatrick	AZ	house	D	RepKirkpatrick
Bill Foster	IL	house	D	RepBillFoster
Marshall Sanford	SC	house	R	RepSanfordSC
Matt Salmon	AZ	house	R	RepMattSalmon
Steve Stockman	TX	house	R	SteveWorks4You
Richard Nolan	MN	house	D	USRepRickNolan
Donald Payne	NJ	house	D	RepDonaldPayne
Thomas Massie	KY	house	R	RepThomasMassie
Suzan DelBene	WA	house	D	RepDelBene
Ron Barber	AZ	house	D	RepRonBarber
Suzanne Bonamici	OR	house	D	RepBonamici
Mark Amodei	NV	house	R	MarkAmodeiNV2
Janice Hahn	CA	house	D	Rep_JaniceHahn
Dean Heller	NV	senate	R	SenDeanHeller
Todd Young	IN	house	R	RepToddYoung
Don Young	AK	house	R	RepDonYoung
Kevin Yoder	KS	house	R	RepKevinYoder
John Yarmuth	KY	house	D	RepJohnYarmuth
Ron Wyden	OR	senate	D	RonWyden
Steve Womack	AR	house	R	Rep_SteveWomack
Frank Wolf	VA	house	R	RepWOLFPress
Robert Wittman	VA	house	R	RobWittman
Frederica Wilson	FL	house	D	RepWilson
Ed Whitfield	KY	house	R	RepEdWhitfield
Lynn Westmoreland	GA	house	R	RepWestmoreland
Peter Welch	VT	house	D	PeterWelch
Daniel Webster	FL	house	R	RepWebster
Henry Waxman	CA	house	D	WaxmanClimate
Maxine Waters	CA	house	D	MaxineWaters
Debbie Wasserman Schultz	FL	house	D	RepDWStweets
Timothy Walz	MN	house	D	RepTimWalz
Greg Walden	OR	house	R	RepGregWalden
Tim Walberg	MI	house	R	RepWalberg
Peter Visclosky	IN	house	D	RepVisclosky
Nydia Velázquez	NY	house	D	NydiaVelazquez
Chris Van Hollen	MD	house	D	ChrisVanHollen
Fred Upton	MI	house	R	RepFredUpton
Michael Turner	OH	house	R	RepMikeTurner
Niki Tsongas	MA	house	D	NikiInTheHouse
Patrick Toomey	PA	senate	R	SenToomey
Paul Tonko	NY	house	D	RepPaulTonko
Scott Tipton	CO	house	R	RepTipton
John Tierney	MA	house	D	RepTierney
Patrick Tiberi	OH	house	R	TiberiPress
John Thune	SD	senate	R	SenJohnThune
Mac Thornberry	TX	house	R	MacTXPress
Glenn Thompson	PA	house	R	CongressmanGT
Mike Thompson	CA	house	D	RepThompson
Bennie Thompson	MS	house	D	BennieGThompson
Lee Terry	NE	house	R	LEETERRYNE
Linda Sánchez	CA	house	D	RepLindaSanchez
Marlin Stutzman	IN	house	R	RepStutzman
Steve Stivers	OH	house	R	RepSteveStivers
Jackie Speier	CA	house	D	RepSpeier
Steve Southerland	FL	house	R	Rep_Southerland
Lamar Smith	TX	house	R	LamarSmithTX21
Christopher Smith	NJ	house	R	RepChrisSmith
Adrian Smith	NE	house	R	RepAdrianSmith
Adam Smith	WA	house	D	RepAdamSmith
Louise Slaughter	NY	house	D	LouiseSlaughter
Albio Sires	NJ	house	D	Rep_Albio_Sires
Michael Simpson	ID	house	R	CongMikeSimpson
Bill Shuster	PA	house	R	RepBillShuster
John Shimkus	IL	house	R	RepShimkus
Brad Sherman	CA	house	D	BradSherman
Richard Shelby	AL	senate	R	SenShelby
Terri Sewell	AL	house	D	RepTerriSewell
Pete Sessions	TX	house	R	PeteSessions
José Serrano	NY	house	D	RepJoseSerrano
F. Sensenbrenner	WI	house	R	JimPressOffice
Tim Scott	SC	senate	R	SenatorTimScott
Robert Scott	VA	house	D	RepBobbyScott
David Scott	GA	house	D	RepDavidScott
Austin Scott	GA	house	R	AustinScottGA08
David Schweikert	AZ	house	R	RepDavid
Charles Schumer	NY	senate	D	ChuckSchumer
Kurt Schrader	OR	house	D	RepSchrader
Aaron Schock	IL	house	R	RepAaronSchock
Adam Schiff	CA	house	D	RepAdamSchiff
Janice Schakowsky	IL	house	D	JanSchakowsky
Steve Scalise	LA	house	R	SteveScalise
John Sarbanes	MD	house	D	RepJohnSarbanes
Loretta Sanchez	CA	house	D	LorettaSanchez
Tim Ryan	OH	house	D	RepTimRyan
Paul Ryan	WI	house	R	RepPaulRyan
Bobby Rush	IL	house	D	RepBobbyRush
C. Ruppersberger	MD	house	D	Call_Me_Dutch
Jon Runyan	NJ	house	R	RepJonRunyan
Marco Rubio	FL	senate	R	SenRubioPress
Edward Royce	CA	house	R	RepEdRoyce
Lucille Roybal-Allard	CA	house	D	RepRoybalAllard
Dennis Ross	FL	house	R	RepDennisRoss
Peter Roskam	IL	house	R	PeterRoskam
Ileana Ros-Lehtinen	FL	house	R	RosLehtinen
Thomas Rooney	FL	house	R	TomRooney
Todd Rokita	IN	house	R	ToddRokita
Mike Rogers	AL	house	R	RepMikeRogersAL
Mike Rogers	MI	house	R	RepMikeRogers
Harold Rogers	KY	house	R	RepHalRogers
David Roe	TN	house	R	DrPhilRoe
Martha Roby	AL	house	R	RepMarthaRoby
E. Rigell	VA	house	R	RepScottRigell
Cedric Richmond	LA	house	D	RepRichmond
Reid Ribble	WI	house	R	RepRibble
James Renacci	OH	house	R	RepJimRenacci
Harry Reid	NV	senate	D	SenatorReid
David Reichert	WA	house	R	DaveReichert
Tom Reed	NY	house	R	RepTomReed
Charles Rangel	NY	house	D	CBRangel
Mike Quigley	IL	house	D	RepMikeQuigley
Tom Price	GA	house	R	RepTomPrice
David Price	NC	house	D	RepDavidEPrice
Bill Posey	FL	house	R	CongBillPosey
Robert Portman	OH	senate	R	RobPortman
Mike Pompeo	KS	house	R	RepMikePompeo
Jared Polis	CO	house	D	JaredPolis
Ted Poe	TX	house	R	JudgeTedPoe
Joseph Pitts	PA	house	R	RepJoePitts
Chellie Pingree	ME	house	D	ChelliePingree
Pedro Pierluisi	PR	house	D	PedroPierluisi
Gary Peters	MI	house	D	RepGaryPeters
Ed Perlmutter	CO	house	D	RepPerlmutter
Nancy Pelosi	CA	house	D	NancyPelosi
Stevan Pearce	NM	house	R	RepStevePearce
Erik Paulsen	MN	house	R	RepErikPaulsen
Rand Paul	KY	senate	R	SenRandPaul
Bill Pascrell	NJ	house	D	BillPascrell
Frank Pallone	NJ	house	D	FrankPallone
Steven Palazzo	MS	house	R	CongPalazzo
William Owens	NY	house	D	BillOwensNY
Pete Olson	TX	house	R	OlsonPressShop
Alan Nunnelee	MS	house	R	RepAlanNunnelee
Devin Nunes	CA	house	R	Rep_DevinNunes
Richard Nugent	FL	house	R	RepRichNugent
Eleanor Norton	DC	house	D	EleanorNorton
Kristi Noem	SD	house	R	RepKristiNoem
Randy Neugebauer	TX	house	R	RandyNeugebauer
Richard Neal	MA	house	D	RepRichardNeal
Grace Napolitano	CA	house	D	GraceNapolitano
Jerrold Nadler	NY	house	D	RepJerryNadler
Patty Murray	WA	senate	D	PattyMurray
Tim Murphy	PA	house	R	RepTimMurphy
Christopher Murphy	CT	senate	D	ChrisMurphyCT
Lisa Murkowski	AK	senate	R	LisaMurkowski
Mick Mulvaney	SC	house	R	RepMickMulvaney
Jerry Moran	KS	senate	R	JerryMoran
James Moran	VA	house	D	Jim_Moran
Gwen Moore	WI	house	D	RepGwenMoore
George Miller	CA	house	D	AskGeorge
Gary Miller	CA	house	R	RepGaryMiller
Candice Miller	MI	house	R	CandiceMiller
Barbara Mikulski	MD	senate	D	SenatorBarb
Michael Michaud	ME	house	D	RepMikeMichaud
Gregory Meeks	NY	house	D	GregoryMeeks
Patrick Meehan	PA	house	R	RepMeehan
Jerry McNerney	CA	house	D	RepMcNerney
Cathy McMorris Rodgers	WA	house	R	CathyMcMorris
David McKinley	WV	house	R	RepMcKinley
Howard McKeon	CA	house	R	BuckMcKeon
Mike McIntyre	NC	house	D	RepMikeMcIntyre
Patrick McHenry	NC	house	R	PatrickMcHenry
James McGovern	MA	house	D	RepMcGovern
Jim McDermott	WA	house	D	RepJimMcDermott
Betty McCollum	MN	house	D	BettyMcCollum04
Tom McClintock	CA	house	R	RepMcClintock
Michael McCaul	TX	house	R	McCaulPressShop
Kevin McCarthy	CA	house	R	GOPWhip
Carolyn McCarthy	NY	house	D	RepMcCarthyNY
John McCain	AZ	senate	R	SenJohnMcCain
Doris Matsui	CA	house	D	DorisMatsui
Jim Matheson	UT	house	D	RepJimMatheson
Edward Markey	MA	senate	D	MarkeyMemo
Tom Marino	PA	house	R	RepTomMarino
Kenny Marchant	TX	house	R	RepKenMarchant
Carolyn Maloney	NY	house	D	RepMaloney
Stephen Lynch	MA	house	D	RepStephenLynch
Cynthia Lummis	WY	house	R	CynthiaLummis
Ben Luján	NM	house	D	RepBenRayLujan
Blaine Luetkemeyer	MO	house	R	RepBlainePress
Frank Lucas	OK	house	R	RepFrankLucas
Nita Lowey	NY	house	D	NitaLowey
Billy Long	MO	house	R	USRepLong
Zoe Lofgren	CA	house	D	RepZoeLofgren
David Loebsack	IA	house	D	DaveLoebsack
Frank LoBiondo	NJ	house	R	RepLoBiondo
Daniel Lipinski	IL	house	D	RepLipinski
John Lewis	GA	house	D	RepJohnLewis
Sander Levin	MI	house	D	RepSandyLevin
Mike Lee	UT	senate	R	SenMikeLee
Barbara Lee	CA	house	D	RepBarbaraLee
Patrick Leahy	VT	senate	D	SenatorLeahy
Robert Latta	OH	house	R	BobLatta
Tom Latham	IA	house	R	TomLatham
John Larson	CT	house	D	RepJohnLarson
Rick Larsen	WA	house	D	RepRickLarsen
James Lankford	OK	house	R	RepLankford
James Langevin	RI	house	D	JimLangevin
Leonard Lance	NJ	house	R	RepLanceNJ7
Doug Lamborn	CO	house	R	RepDLamborn
Raúl Labrador	ID	house	R	Raul_Labrador
John Kline	MN	house	R	RepJohnKline
Mark Kirk	IL	senate	R	SenatorKirk
Adam Kinzinger	IL	house	R	RepKinzinger
Jack Kingston	GA	house	R	JackKingston
Steve King	IA	house	R	SteveKingIA
Peter King	NY	house	R	RepPeteKing
Ron Kind	WI	house	D	RepRonKind
Mike Kelly	PA	house	R	MikeKellyPA
William Keating	MA	house	D	USRepKeating
Marcy Kaptur	OH	house	D	RepMarcyKaptur
Jim Jordan	OH	house	R	Jim_Jordan
Walter Jones	NC	house	R	RepWalterJones
Sam Johnson	TX	house	R	SamsPressShop
Ron Johnson	WI	senate	R	SenRonJohnson
Henry Johnson	GA	house	D	RepHankJohnson
Eddie Johnson	TX	house	D	RepEBJ
Bill Johnson	OH	house	R	RepBillJohnson
Lynn Jenkins	KS	house	R	RepLynnJenkins
Sheila Jackson Lee	TX	house	D	JacksonLeeTX18
Darrell Issa	CA	house	R	DarrellIssa
Steve Israel	NY	house	D	RepSteveIsrael
John Isakson	GA	senate	R	SenatorIsakson
Robert Hurt	VA	house	R	RepRobertHurt
Duncan Hunter	CA	house	R	Rep_Hunter
Randy Hultgren	IL	house	R	RepHultgren
Bill Huizenga	MI	house	R	RepHuizenga
Tim Huelskamp	KS	house	R	CongHuelskamp
Steny Hoyer	MD	house	D	WhipHoyer
Michael Honda	CA	house	D	RepMikeHonda
John Hoeven	ND	senate	R	SenJohnHoeven
Mazie Hirono	HI	senate	D	MazieHirono
Rubén Hinojosa	TX	house	D	USRepRHinojosa
James Himes	CT	house	D	JAHimes
Brian Higgins	NY	house	D	RepBrianHiggins
Jaime Herrera Beutler	WA	house	R	HerreraBeutler
Jeb Hensarling	TX	house	R	RepHensarling
Martin Heinrich	NM	senate	D	MartinHeinrich
Joseph Heck	NV	house	R	RepJoeHeck
Doc Hastings	WA	house	R	DocHastings
Vicky Hartzler	MO	house	R	RepHartzler
Andy Harris	MD	house	R	RepAndyHarrisMD
Gregg Harper	MS	house	R	GreggHarper
Richard Hanna	NY	house	R	RepRichardHanna
Colleen Hanabusa	HI	house	D	RepHanabusa
Ralph Hall	TX	house	R	RalphHallPress
Luis Gutiérrez	IL	house	D	LuisGutierrez
Brett Guthrie	KY	house	R	RepGuthrie
Michael Grimm	NY	house	R	RepMichaelGrimm
Raúl Grijalva	AZ	house	D	RepraulGrijalva
H. Griffith	VA	house	R	RepMGriffith
Tim Griffin	AR	house	R	RepTimGriffin
Gene Green	TX	house	D	RepGeneGreen
Al Green	TX	house	D	RepAlGreen
Tom Graves	GA	house	R	RepTomGraves
Charles Grassley	IA	senate	R	ChuckGrassley
Kay Granger	TX	house	R	RepKayGranger
Trey Gowdy	SC	house	R	TGowdySC
Paul Gosar	AZ	house	R	RepGosar
Bob Goodlatte	VA	house	R	RepGoodlatte
Louie Gohmert	TX	house	R	RepLouieGohmert
Phil Gingrey	GA	house	R	RepPhilGingrey
Christopher Gibson	NY	house	R	RepChrisGibson
Bob Gibbs	OH	house	R	RepBobGibbs
Jim Gerlach	PA	house	R	JimGerlach
Scott Garrett	NJ	house	R	RepGarrett
Cory Gardner	CO	house	R	RepCoryGardner
John Garamendi	CA	house	D	RepGaramendi
Marcia Fudge	OH	house	D	RepMarciaFudge
Rodney Frelinghuysen	NJ	house	R	USRepRodney
Trent Franks	AZ	house	R	RepTrentFranks
Virginia Foxx	NC	house	R	VirginiaFoxx
Jeff Fortenberry	NE	house	R	JeffFortenberry
J. Forbes	VA	house	R	Randy_Forbes
Bill Flores	TX	house	R	RepBillFlores
John Fleming	LA	house	R	RepFleming
Charles Fleischmann	TN	house	R	RepChuck
Jeff Flake	AZ	senate	R	JeffFlake
Michael Fitzpatrick	PA	house	R	RepFitzpatrick
Stephen Fincher	TN	house	R	RepFincherTN08
Chaka Fattah	PA	house	D	ChakaFattah
Sam Farr	CA	house	D	RepSamFarr
Blake Farenthold	TX	house	R	Farenthold
Eni Faleomavaega	AS	house	D	EFaleomavaega
Anna Eshoo	CA	house	D	RepAnnaEshoo
Eliot Engel	NY	house	D	RepEliotEngel
Renee Ellmers	NC	house	R	RepReneeEllmers
Keith Ellison	MN	house	D	KeithEllison
Donna Edwards	MD	house	D	RepDonnaEdwards
John Duncan	TN	house	R	RepJohnDuncanJr
Jeff Duncan	SC	house	R	RepJeffDuncan
Sean Duffy	WI	house	R	RepSeanDuffy
Michael Doyle	PA	house	D	USRepMikeDoyle
Joe Donnelly	IN	senate	D	SenDonnelly
Lloyd Doggett	TX	house	D	RepLloydDoggett
John Dingell	MI	house	D	John_Dingell
Mario Diaz-Balart	FL	house	R	MarioDB
Theodore Deutch	FL	house	D	RepTedDeutch
Scott DesJarlais	TN	house	R	DesJarlaisTN04
Jeff Denham	CA	house	R	RepJeffDenham
Rosa DeLauro	CT	house	D	RosaDeLauro
Diana DeGette	CO	house	D	RepDianaDeGette
Peter DeFazio	OR	house	D	RepPeterDeFazio
Susan Davis	CA	house	D	RepSusanDavis
Danny Davis	IL	house	D	RepDannyDavis
Elijah Cummings	MD	house	D	RepCummings
John Culberson	TX	house	R	CongCulberson
Henry Cuellar	TX	house	D	RepCuellar
Joseph Crowley	NY	house	D	RepJoeCrowley
Ander Crenshaw	FL	house	R	AnderCrenshaw
Eric Crawford	AR	house	R	RepRickCrawford
Michael Crapo	ID	senate	R	MikeCrapo
Joe Courtney	CT	house	D	RepJoeCourtney
Jim Costa	CA	house	D	RepJimCosta
Jim Cooper	TN	house	D	RepJimCooper
John Conyers	MI	house	D	RepJohnConyers
Gerald Connolly	VA	house	D	GerryConnolly
K. Conaway	TX	house	R	ConawayTX11
Tom Cole	OK	house	R	TomColeOK04
Steve Cohen	TN	house	D	RepCohen
Mike Coffman	CO	house	R	RepMikeCoffman
Thomas Coburn	OK	senate	R	TomCoburn
Howard Coble	NC	house	R	HowardCoble
Daniel Coats	IN	senate	R	SenDanCoats
James Clyburn	SC	house	D	Clyburn
Emanuel Cleaver	MO	house	D	RepCleaver
Yvette Clarke	NY	house	D	YvetteClarke
David Cicilline	RI	house	D	RepCicilline
Judy Chu	CA	house	D	RepJudyChu
Donna Christensen	VI	house	D	DelegateDonna
Jason Chaffetz	UT	house	R	JasonInTheHouse
Steve Chabot	OH	house	R	RepSteveChabot
Kathy Castor	FL	house	D	USRepKCastor
John Carter	TX	house	R	JudgeCarter
André Carson	IN	house	D	RepAndreCarson
John Carney	DE	house	D	JohnCarneyde
Lois Capps	CA	house	D	RepLoisCapps
Shelley Capito	WV	house	R	RepShelley
Eric Cantor	VA	house	R	GOPLeader
John Campbell	CA	house	R	RepJohnCampbell
Dave Camp	MI	house	R	RepDaveCamp
Ken Calvert	CA	house	R	KenCalvert
George Butterfield	NC	house	D	GKButterfield
Richard Burr	NC	senate	R	SenatorBurr
Michael Burgess	TX	house	R	MichaelCBurgess
Larry Bucshon	IN	house	R	RepLarryBucshon
Vern Buchanan	FL	house	R	VernBuchanan
Corrine Brown	FL	house	D	RepCorrineBrown
Paul Broun	GA	house	R	RepPaulBrounMD
Mo Brooks	AL	house	R	RepMoBrooks
Bruce Braley	IA	house	D	BruceBraley
Robert Brady	PA	house	D	RepBrady
Kevin Brady	TX	house	R	RepKevinBrady
Barbara Boxer	CA	senate	D	SenatorBoxer
Charles Boustany	LA	house	R	RepBoustany
John Boozman	AR	senate	R	JohnBoozman
John Boehner	OH	house	R	SpeakerBoehner
Roy Blunt	MO	senate	R	RoyBlunt
Richard Blumenthal	CT	senate	D	SenBlumenthal
Earl Blumenauer	OR	house	D	BlumenauerMedia
Marsha Blackburn	TN	house	R	MarshaBlackburn
Diane Black	TN	house	R	RepDianeBlack
Timothy Bishop	NY	house	D	TimBishopNY
Sanford Bishop	GA	house	D	SanfordBishop
Rob Bishop	UT	house	R	RepRobBishop
Gus Bilirakis	FL	house	R	RepGusBilirakis
Michael Bennet	CO	senate	D	SenBennetCo
Dan Benishek	MI	house	R	CongressmanDan
Xavier Becerra	CA	house	D	RepBecerra
Karen Bass	CA	house	D	RepKarenBass
Joe Barton	TX	house	R	RepJoeBarton
John Barrow	GA	house	D	RepJohnBarrow
Lou Barletta	PA	house	R	RepLouBarletta
Tammy Baldwin	WI	senate	D	SenatorBaldwin
Spencer Bachus	AL	house	R	BachusAL06
Michele Bachmann	MN	house	R	MicheleBachmann
Justin Amash	MI	house	R	RepJustinAmash
Robert Aderholt	AL	house	R	Robert_Aderholt
Joe Manchin	WV	senate	D	Sen_JoeManchin
Chris Coons	DE	senate	D	SenCoonsOffice
Mark Warner	VA	senate	D	MarkWarner
Tom Udall	NM	senate	D	SenatorTomUdall
Mark Udall	CO	senate	D	MarkUdall
Jeanne Shaheen	NH	senate	D	SenatorShaheen
Jefferson Sessions	AL	senate	R	SenatorSessions
John Rockefeller	WV	senate	D	SenRockefeller
Pat Roberts	KS	senate	R	SenPatRoberts
James Risch	ID	senate	R	SenatorRisch
John Reed	RI	senate	D	SenJackReed
Mark Pryor	AR	senate	D	SenMarkPryor
Jeff Merkley	OR	senate	D	SenJeffMerkley
Mitch McConnell	KY	senate	R	McConnellPress
Carl Levin	MI	senate	D	SenCarlLevin
Mary Landrieu	LA	senate	D	SenLandrieu
Tim Johnson	SD	senate	D	SenJohnsonSD
Mike Johanns	NE	senate	R	Mike_Johanns
James Inhofe	OK	senate	R	InhofePress
Thomas Harkin	IA	senate	D	SenatorHarkin
Kay Hagan	NC	senate	D	SenatorHagan
Lindsey Graham	SC	senate	R	GrahamBlog
Michael Enzi	WY	senate	R	SenatorEnzi
Richard Durbin	IL	senate	D	SenatorDurbin
John Cornyn	TX	senate	R	JohnCornyn
Susan Collins	ME	senate	R	SenatorCollins
Thad Cochran	MS	senate	R	SenThadCochran
Saxby Chambliss	GA	senate	R	SaxbyChambliss
Mark Begich	AK	senate	D	SenatorBegich
Lamar Alexander	TN	senate	R	SenAlexander
Roger Wicker	MS	senate	R	SenatorWicker
John Barrasso	WY	senate	R	SenJohnBarrasso
Sheldon Whitehouse	RI	senate	D	SenWhitehouse
Jon Tester	MT	senate	D	TesterPress
Debbie Stabenow	MI	senate	D	StabenowPress
Bernard Sanders	VT	senate	I	SenSanders
Bill Nelson	FL	senate	D	SenBillNelson
Robert Menéndez	NJ	senate	D	SenatorMenendez
Claire McCaskill	MO	senate	D	McCaskillOffice
Orrin Hatch	UT	senate	R	SenOrrinHatch
Dianne Feinstein	CA	senate	D	SenFeinstein
Bob Corker	TN	senate	R	SenBobCorker
Robert Casey	PA	senate	D	SenBobCasey
Thomas Carper	DE	senate	D	SenatorCarper
Benjamin Cardin	MD	senate	D	SenatorCardin
Maria Cantwell	WA	senate	D	CantwellPress
Sherrod Brown	OH	senate	D	SenSherrodBrown
